countytown,ctytwnhanzi,qingmei,mangguo,shizi,yezi,wendaili,maogugan,longyan,tianmitao,xiangjiao,lizhi,fengli,fanqie,gaojieli,li,hailigan,tonggan,fanlizhi,wendanyou,xigua,yinduzao,mugua,ningmeng,liucheng,putao,lianwu,pipa,jingan,putaoyou,laoli,tiangua,fanshiliu,yangtao,penggan,shuimitao
tainanshidaneiqu,臺南市大內區,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,0,12,0,0,0,0,0,9,0,0,0,0,0
yunlinxiandouliushi,雲林縣斗六市,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taidongxiandonghexiang,臺東縣東河鄉,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pingdongxianwanluanxiang,屏東縣萬巒鄉,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
hualianxianruisuixiang,花蓮縣瑞穗鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhanghuaxianpuxinxiang,彰化縣埔心鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
pingdongxianyanpuxiang,屏東縣鹽埔鄉,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0
taidongxianyanpingxiang,臺東縣延平鄉,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhanghuaxiandacunxiang,彰化縣大村鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
yilanxiandongshanxiang,宜蘭縣冬山鄉,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
nantouxianzhushanzhen,南投縣竹山鎮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
pingdongxiangaoshuxiang,屏東縣高樹鄉,0,6,0,7,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,12,12,9,0,0,12,0,0,0,0,0,0,0,0,0
yunlinxiandounanzhen,雲林縣斗南鎮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
tainanshiguirenqu,臺南市歸仁區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nantouxianshuilixiang,南投縣水里鄉,5,0,0,0,0,2,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
nantouxianrenaixiang,南投縣仁愛鄉,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
pingdongxianwandanxiang,屏東縣萬丹鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaoxiongshitianliaoqu,高雄市田寮區,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jiayixiandalinzhen,嘉義縣大林鎮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
yunlinxiangukengxiang,雲林縣古坑鄉,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0
xinzhuxianemeixiang,新竹縣峨眉鄉,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xinzhushixiangshanqu,新竹市香山區,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xinbeishisanxiaqu,新北市三峽區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaoxiongshimeinongqu,高雄市美濃區,0,0,0,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
taizhongshifengyuanqu,臺中市豐原區,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
xinzhuxianhengshanxiang,新竹縣橫山鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pingdongxianligangxiang,屏東縣里港鄉,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,12,0,0
nantouxianguoxingxiang,南投縣國姓鄉,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaoxiongshitaoyuanqu,高雄市桃源區,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nantouxianzhongliaoxiang,南投縣中寮鄉,5,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
pingdongxianchangzhixiang,屏東縣長治鄉,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0
xinbeishixindianqu,新北市新店區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhanghuaxianshetouxiang,彰化縣社頭鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
miaolixiansanwanxiang,苗栗縣三灣鄉,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pingdongxianfangliaoxiang,屏東縣枋寮鄉,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
nantouxianjijizhen,南投縣集集鎮,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taizhongshitaipingqu,臺中市太平區,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
nantouxiancaotunzhen,南投縣草屯鎮,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
jiayixianzhongpuxiang,嘉義縣中埔鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,11,0,0,0,0,0,0
taizhongshixinshequ,臺中市新社區,0,0,10,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0
yilanxiansanxingxiang,宜蘭縣三星鄉,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pingdongxianfangshanxiang,屏東縣枋山鄉,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pingdongxiannanzhouxiang,屏東縣南州鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
tainanshiqiguqu,臺南市七股區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
tainanshiguantianqu,臺南市官田區,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
tainanshijialiqu,臺南市佳里區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
gaoxiongshiyanchaoqu,高雄市燕巢區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0
pingdongxianneipuxiang,屏東縣內埔鄉,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
taidongxianbeinanxiang,臺東縣卑南鄉,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xinzhuxianguanxizhen,新竹縣關西鎮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tainanshilongqiqu,臺南市龍崎區,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tainanshihoubiqu,臺南市後壁區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
zhanghuaxianxihuzhen,彰化縣溪湖鎮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
zhanghuaxianyuanlinshi,彰化縣員林市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
gaoxiongshinamaxiaqu,高雄市那瑪夏區,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hualianxianyulizhen,花蓮縣玉里鎮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhanghuaxianfenyuanxiang,彰化縣芬園鄉,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jiayixianzhuqixiang,嘉義縣竹崎鄉,0,0,0,0,0,2,8,0,0,7,0,0,8,0,0,0,0,9,0,0,0,0,12,0,0,0,0,11,0,0,0,0,12,0
taoyuanshifuxingqu,桃園市復興區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
xinzhuxianxinpuzhen,新竹縣新埔鎮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pingdongxianjiuruxiang,屏東縣九如鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
pingdongxianlinbianxiang,屏東縣林邊鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
taidongxiantaidongshi,臺東縣臺東市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhanghuaxiandachengxiang,彰化縣大城鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taidongxianchenggongzhen,臺東縣成功鎮,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pingdongxianchaozhouzhen,屏東縣潮州鎮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
tainanshiyujingqu,臺南市玉井區,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,12,0,0,0
yunlinxianerlunxiang,雲林縣二崙鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taizhongshiwufengqu,臺中市霧峰區,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jiayixianmeishanxiang,嘉義縣梅山鄉,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0
gaoxiongshigangshanqu,高雄市岡山區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taizhongshidongshiqu,臺中市東勢區,0,0,11,0,0,2,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0
gaoxiongshiliuguiqu,高雄市六龜區,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
gaoxiongshijiaxianqu,高雄市甲仙區,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tainanshidongshanqu,臺南市東山區,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,12,0
nantouxianmingjianxiang,南投縣名間鄉,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhanghuaxianerlinzhen,彰化縣二林鎮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
yunlinxianlunbeixiang,雲林縣崙背鄉,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
tainanshiliujiaqu,臺南市六甲區,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
pingdongxianxinpixiang,屏東縣新埤鄉,0,6,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0
pingdongxianhengchunzhen,屏東縣恆春鎮,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tainanshiguanmiaoqu,臺南市關廟區,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaoxiongshidashequ,高雄市大社區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0
taizhongshihepingqu,臺中市和平區,5,0,11,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
nantouxianxinyixiang,南投縣信義鄉,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
pingdongxianlinluoxiang,屏東縣麟洛鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
taizhongshishigangqu,臺中市石岡區,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
jiayixianfanluxiang,嘉義縣番路鄉,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,11,0,0,0,0,12,0
taidongxiantaimalixiang,臺東縣太麻里鄉,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miaolixiangongguanxiang,苗栗縣公館鄉,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaoxiongshialianqu,高雄市阿蓮區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0
gaoxiongshiqishanqu,高雄市旗山區,0,0,0,7,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhanghuaxianzhanghuashi,彰化縣彰化市,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tainanshishanshangqu,臺南市山上區,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yilanxianyuanshanxiang,宜蘭縣員山鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
gaoxiongshiluzhuqu,高雄市路竹區,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
miaolixiandahuxiang,苗栗縣大湖鄉,0,0,10,0,0,0,0,5,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yunlinxiansihuxiang,雲林縣四湖鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miaolixiantaianxiang,苗栗縣泰安鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yilanxianjiaoxixiang,宜蘭縣礁溪鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
xinzhuxianbeipuxiang,新竹縣北埔鄉,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tainanshixinhuaqu,臺南市新化區,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tainanshibaihequ,臺南市白河區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
xinzhuxianqionglinxiang,新竹縣芎林鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaoxiongshineimenqu,高雄市內門區,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taizhongshidaliqu,臺中市大里區,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taizhongshihouliqu,臺中市后里區,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jiayixiantaibaoshi,嘉義縣太保市,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tainanshimadouqu,臺南市麻豆區,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
zhanghuaxianxizhouxiang,彰化縣溪州鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
taizhongshishengangqu,臺中市神岡區,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jiayixianminxiongxiang,嘉義縣民雄鄉,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
tainanshinanhuaqu,臺南市南化區,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0
gaoxiongshidashuqu,高雄市大樹區,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hualianxianfenglinzhen,花蓮縣鳳林鎮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yunlinxianlinneixiang,雲林縣林內鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
hualianxianfulixiang,花蓮縣富里鄉,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miaolixianhoulongzhen,苗栗縣後龍鎮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taidongxianchishangxiang,臺東縣池上鄉,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaoxiongshishanlinqu,高雄市杉林區,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hualianxianshoufengxiang,花蓮縣壽豐鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pingdongxianjiadongxiang,屏東縣佳冬鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
tainanshinanxiqu,臺南市楠西區,5,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,12,0,0
taidongxianhaiduanxiang,臺東縣海端鄉,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miaolixiansanyixiang,苗栗縣三義鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xinzhuxianwufengxiang,新竹縣五峰鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
nantouxiannantoushi,南投縣南投市,0,0,0,0,0,0,8,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miaolixianzhuolanzhen,苗栗縣卓蘭鎮,0,0,0,0,0,0,0,5,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,12,0
miaolixianxihuxiang,苗栗縣西湖鄉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jiayixianliujiaoxiang,嘉義縣六腳鄉,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
